[2025-11-26 12:49:26] DEBUG: UserController - create | {"user":"admin5","email":"admin5@gmail.com","role":"editor","pass":"123","config":{"permissions":{"plugins":[]},"preferences":{"theme":"light","language":"es","notifications":false}}}
[2025-11-26 12:49:26] INFO: UserController - Usuario creado | {"id":"4"}
[2025-11-26 14:12:47] DEBUG: router | "Rutas manuales cargadas: user.php"
[2025-11-26 14:12:47] DEBUG: router | "Ruta CRUD auto-registrada: get \/user"
[2025-11-26 14:12:47] DEBUG: router | "Ruta CRUD auto-registrada: get \/user\/{id}"
[2025-11-26 14:12:47] DEBUG: router | "Ruta CRUD auto-registrada: post \/user"
[2025-11-26 14:12:47] DEBUG: router | "Ruta CRUD auto-registrada: put \/user\/{id}"
[2025-11-26 14:12:47] DEBUG: router | "Ruta CRUD auto-registrada: delete \/user\/{id}"
[2025-11-26 14:13:51] DEBUG: router | "Rutas manuales cargadas: user.php"
[2025-11-26 14:13:51] DEBUG: router | "Ruta CRUD auto-registrada: get \/user"
[2025-11-26 14:13:51] DEBUG: router | "Ruta CRUD auto-registrada: get \/user\/{id}"
[2025-11-26 14:13:51] DEBUG: router | "Ruta CRUD auto-registrada: post \/user"
[2025-11-26 14:13:51] DEBUG: router | "Ruta CRUD auto-registrada: put \/user\/{id}"
[2025-11-26 14:13:51] DEBUG: router | "Ruta CRUD auto-registrada: delete \/user\/{id}"
[2025-11-26 14:13:51] DEBUG: router | "Rutas manuales cargadas: user.php"
[2025-11-26 14:13:51] DEBUG: router | "Ruta CRUD auto-registrada: get \/user"
[2025-11-26 14:13:51] DEBUG: router | "Ruta CRUD auto-registrada: get \/user\/{id}"
[2025-11-26 14:13:51] DEBUG: router | "Ruta CRUD auto-registrada: post \/user"
[2025-11-26 14:13:51] DEBUG: router | "Ruta CRUD auto-registrada: put \/user\/{id}"
[2025-11-26 14:13:51] DEBUG: router | "Ruta CRUD auto-registrada: delete \/user\/{id}"
[2025-11-26 14:13:54] DEBUG: router | "Rutas manuales cargadas: user.php"
[2025-11-26 14:13:54] DEBUG: router | "Ruta CRUD auto-registrada: get \/user"
[2025-11-26 14:13:54] DEBUG: router | "Ruta CRUD auto-registrada: get \/user\/{id}"
[2025-11-26 14:13:54] DEBUG: router | "Ruta CRUD auto-registrada: post \/user"
[2025-11-26 14:13:54] DEBUG: router | "Ruta CRUD auto-registrada: put \/user\/{id}"
[2025-11-26 14:13:54] DEBUG: router | "Ruta CRUD auto-registrada: delete \/user\/{id}"
[2025-11-26 14:14:47] DEBUG: router | "Rutas manuales cargadas: user.php"
[2025-11-26 14:14:47] DEBUG: router | "Ruta CRUD auto-registrada: get \/user"
[2025-11-26 14:14:47] DEBUG: router | "Ruta CRUD auto-registrada: get \/user\/{id}"
[2025-11-26 14:14:47] DEBUG: router | "Ruta CRUD auto-registrada: post \/user"
[2025-11-26 14:14:47] DEBUG: router | "Ruta CRUD auto-registrada: put \/user\/{id}"
[2025-11-26 14:14:47] DEBUG: router | "Ruta CRUD auto-registrada: delete \/user\/{id}"
[2025-11-26 14:14:47] DEBUG: UserController - create | {"user":"admin123","email":"admin@ejemplo.com","role":"editor","pass":"123","config":{"permissions":{"plugins":[]},"preferences":{"theme":"light","language":"es","notifications":false}}}
[2025-11-26 14:14:47] INFO: UserController - Usuario creado | {"id":"5"}
[2025-11-26 14:15:05] DEBUG: router | "Rutas manuales cargadas: user.php"
[2025-11-26 14:15:05] DEBUG: router | "Ruta CRUD auto-registrada: get \/user"
[2025-11-26 14:15:05] DEBUG: router | "Ruta CRUD auto-registrada: get \/user\/{id}"
[2025-11-26 14:15:05] DEBUG: router | "Ruta CRUD auto-registrada: post \/user"
[2025-11-26 14:15:05] DEBUG: router | "Ruta CRUD auto-registrada: put \/user\/{id}"
[2025-11-26 14:15:05] DEBUG: router | "Ruta CRUD auto-registrada: delete \/user\/{id}"
[2025-11-26 14:15:05] DEBUG: UserController - create | {"user":"admin55","email":"admin55@gmail.com","role":"admin","pass":"123","config":{"permissions":{"plugins":[]},"preferences":{"theme":"light","language":"es","notifications":false}}}
[2025-11-26 14:15:06] INFO: UserController - Usuario creado | {"id":"6"}
[2025-11-26 14:18:51] DEBUG: router | "Rutas manuales cargadas: user.php"
[2025-11-26 14:18:51] DEBUG: router | "Ruta CRUD auto-registrada: get \/user"
[2025-11-26 14:18:51] DEBUG: router | "Ruta CRUD auto-registrada: get \/user\/{id}"
[2025-11-26 14:18:51] DEBUG: router | "Ruta CRUD auto-registrada: post \/user"
[2025-11-26 14:18:51] DEBUG: router | "Ruta CRUD auto-registrada: put \/user\/{id}"
[2025-11-26 14:18:51] DEBUG: router | "Ruta CRUD auto-registrada: delete \/user\/{id}"
[2025-11-26 14:23:51] DEBUG: router | "Rutas manuales cargadas: user.php"
[2025-11-26 14:23:51] DEBUG: router | "Ruta CRUD auto-registrada: get \/user"
[2025-11-26 14:23:51] DEBUG: router | "Ruta CRUD auto-registrada: get \/user\/{id}"
[2025-11-26 14:23:51] DEBUG: router | "Ruta CRUD auto-registrada: post \/user"
[2025-11-26 14:23:51] DEBUG: router | "Ruta CRUD auto-registrada: put \/user\/{id}"
[2025-11-26 14:23:51] DEBUG: router | "Ruta CRUD auto-registrada: delete \/user\/{id}"
